segment_id,segment_name,start_city,end_city,length_km,base_travel_time_minutes,road_type
SEG-000021,Ambattur to New Delhi via State Highway 59,Ambattur,New Delhi,458.62,600,Rural Road
SEG-000022,Vijayanagaram to Thanjavur via Expressway 76,Vijayanagaram,Thanjavur,154.35,171,Urban Arterial
SEG-000023,Latur to Vasai-Virar via Urban Arterial 80,Latur,Vasai-Virar,445.38,363,Highway
SEG-000024,Varanasi to Ambarnath via Urban Arterial 16,Varanasi,Ambarnath,336.36,341,Expressway
SEG-000025,Salem to Ranchi via Rural Road 2,Salem,Ranchi,141.27,253,Rural Road
SEG-000026,Sasaram to Indore via Rural Road 21,Sasaram,Indore,7.07,5,Rural Road
SEG-000027,Bahraich to Jhansi via Rural Road 7,Bahraich,Jhansi,449.02,346,Highway
SEG-000028,Udaipur to Karawal Nagar via Rural Road 77,Udaipur,Karawal Nagar,81.73,97,Highway
SEG-000029,Bidar to Unnao via Highway 79,Bidar,Unnao,407.79,273,Highway
SEG-000030,Dehri to Gudivada via Rural Road 69,Dehri,Gudivada,79.43,65,Highway
SEG-000031,Chandigarh to Vasai-Virar via Highway 21,Chandigarh,Vasai-Virar,290.45,463,Expressway
SEG-000032,Bettiah to Kollam via State Highway 25,Bettiah,Kollam,193.11,132,Urban Arterial
SEG-000033,Bangalore to Mangalore via Urban Arterial 63,Bangalore,Mangalore,331.64,227,Rural Road
SEG-000034,Morbi to Bijapur via Urban Arterial 81,Morbi,Bijapur,14.27,13,Expressway
SEG-000035,Solapur to Bally via Urban Arterial 55,Solapur,Bally,368.75,600,Rural Road
SEG-000036,Serampore to Sri Ganganagar via Highway 95,Serampore,Sri Ganganagar,49.76,52,Urban Arterial
SEG-000037,Bahraich to Khandwa via Expressway 77,Bahraich,Khandwa,212.39,199,Urban Arterial
SEG-000038,Mangalore to Jorhat via State Highway 40,Mangalore,Jorhat,392.37,403,Highway
SEG-000039,Dewas to Silchar via Rural Road 85,Dewas,Silchar,475.02,404,Urban Arterial
SEG-000040,Pali to Tadipatri via Expressway 29,Pali,Tadipatri,232.79,198,Expressway
SEG-000041,Karawal Nagar to Gulbarga via Highway 33,Karawal Nagar,Gulbarga,398.72,433,Expressway
SEG-000042,Satara to Raichur via Urban Arterial 46,Satara,Raichur,81.78,74,Urban Arterial
SEG-000043,Miryalaguda to Dindigul via Urban Arterial 8,Miryalaguda,Dindigul,203.33,251,Highway
SEG-000044,Gudivada to Ongole via State Highway 17,Gudivada,Ongole,20.13,29,Urban Arterial
SEG-000045,Gwalior to Panvel via Expressway 18,Gwalior,Panvel,451.81,600,Urban Arterial
SEG-000046,Vijayawada to Bhagalpur via Expressway 63,Vijayawada,Bhagalpur,414.13,389,State Highway
SEG-000047,Morena to Solapur via Highway 83,Morena,Solapur,377.74,260,Highway
SEG-000048,Khora  to Gulbarga via Rural Road 53,Khora ,Gulbarga,14.83,11,Rural Road
SEG-000049,Jamnagar to Kishanganj via Expressway 39,Jamnagar,Kishanganj,278.52,212,Rural Road
SEG-000050,Phagwara to Parbhani via Expressway 18,Phagwara,Parbhani,496.63,403,Expressway
SEG-000051,Bally to Moradabad via Expressway 33,Bally,Moradabad,89.59,112,Expressway
SEG-000052,Vellore to Mira-Bhayandar via Urban Arterial 4,Vellore,Mira-Bhayandar,67.39,95,Rural Road
SEG-000053,Ahmednagar to Bhilwara via Urban Arterial 82,Ahmednagar,Bhilwara,200.51,176,Rural Road
SEG-000054,Nashik to Dhanbad via Expressway 16,Nashik,Dhanbad,341.65,289,Urban Arterial
SEG-000055,Nellore to Bettiah via State Highway 52,Nellore,Bettiah,385.3,296,Expressway
SEG-000056,Khora  to Bhiwandi via Expressway 52,Khora ,Bhiwandi,242.34,465,Urban Arterial
SEG-000057,Motihari to Indore via Highway 65,Motihari,Indore,173.34,127,Highway
SEG-000058,Rajahmundry to Madanapalle via Highway 57,Rajahmundry,Madanapalle,288.52,367,State Highway
SEG-000059,Allahabad to Srikakulam via Highway 61,Allahabad,Srikakulam,250.26,191,Rural Road
SEG-000060,Dibrugarh to Giridih via Rural Road 74,Dibrugarh,Giridih,473.26,600,Expressway
SEG-000061,Begusarai to Mau via Expressway 69,Begusarai,Mau,88.57,72,State Highway
SEG-000062,Silchar to Jehanabad via Highway 72,Silchar,Jehanabad,294.45,333,Urban Arterial
SEG-000063,Kavali to Lucknow via Expressway 61,Kavali,Lucknow,239.11,323,Highway
SEG-000064,Tiruchirappalli to Satna via State Highway 56,Tiruchirappalli,Satna,226.44,197,State Highway
SEG-000065,Saharanpur to Mumbai via State Highway 71,Saharanpur,Mumbai,388.14,312,Highway
SEG-000066,Nizamabad to Mangalore via State Highway 52,Nizamabad,Mangalore,277.1,252,Expressway
SEG-000067,Kadapa to Sonipat via State Highway 72,Kadapa,Sonipat,233.68,283,Rural Road
SEG-000068,Ramgarh to Alwar via Rural Road 20,Ramgarh,Alwar,283.16,263,Highway
SEG-000069,Bhopal to Jehanabad via State Highway 74,Bhopal,Jehanabad,11.09,17,Rural Road
SEG-000070,Guntakal to Mango via Expressway 29,Guntakal,Mango,113.48,86,State Highway
SEG-000071,Bulandshahr to Eluru via Urban Arterial 50,Bulandshahr,Eluru,326.39,282,State Highway
SEG-000072,New Delhi to Panchkula via Rural Road 7,New Delhi,Panchkula,154.09,244,State Highway
SEG-000073,Haldia to Ambala via Highway 91,Haldia,Ambala,402.02,375,Rural Road
SEG-000074,Bhimavaram to Unnao via Expressway 52,Bhimavaram,Unnao,447.02,534,Highway
SEG-000075,Gangtok to Shahjahanpur via Expressway 44,Gangtok,Shahjahanpur,250.01,170,Rural Road
SEG-000076,Pudukkottai to Bhimavaram via Rural Road 66,Pudukkottai,Bhimavaram,435.98,305,Urban Arterial
SEG-000077,Panipat to Kishanganj via Highway 67,Panipat,Kishanganj,32.8,50,Rural Road
SEG-000078,Mysore to Karnal via State Highway 85,Mysore,Karnal,10.99,21,State Highway
SEG-000079,Bellary to Rourkela via Rural Road 39,Bellary,Rourkela,13.08,15,Urban Arterial
SEG-000080,Sri Ganganagar to Katni via Expressway 27,Sri Ganganagar,Katni,141.02,242,Rural Road
SEG-000081,Sambhal to Tezpur via State Highway 4,Sambhal,Tezpur,27.62,45,Expressway
SEG-000082,Jalgaon to Ballia via Expressway 33,Jalgaon,Ballia,70.44,78,State Highway
SEG-000083,Satna to Farrukhabad via Expressway 10,Satna,Farrukhabad,154.28,129,Highway
SEG-000084,Danapur to Mehsana via Urban Arterial 5,Danapur,Mehsana,351.95,294,Expressway
SEG-000085,Avadi to Bhusawal via Expressway 53,Avadi,Bhusawal,221.77,303,Expressway
SEG-000086,Rohtak to Ichalkaranji via Expressway 74,Rohtak,Ichalkaranji,235.05,161,Urban Arterial
SEG-000087,Katni to Kishanganj via State Highway 46,Katni,Kishanganj,37.4,25,State Highway
SEG-000088,Tumkur to Karnal via Urban Arterial 75,Tumkur,Karnal,16.07,15,Expressway
SEG-000089,Rajpur Sonarpur to Bhilai via Urban Arterial 6,Rajpur Sonarpur,Bhilai,23.58,32,Urban Arterial
SEG-000090,Jammu to Thrissur via Urban Arterial 66,Jammu,Thrissur,361.15,269,Expressway
SEG-000091,Srinagar to Bellary via Rural Road 24,Srinagar,Bellary,190.21,161,Rural Road
SEG-000092,Dewas to Nellore via Expressway 85,Dewas,Nellore,272.22,197,Highway
SEG-000093,Bhavnagar to Tezpur via Urban Arterial 5,Bhavnagar,Tezpur,306.25,371,State Highway
SEG-000094,Pudukkottai to Avadi via Urban Arterial 83,Pudukkottai,Avadi,55.09,50,Expressway
SEG-000095,Kishanganj to Indore via Expressway 49,Kishanganj,Indore,58.15,59,Rural Road
SEG-000096,Bhusawal to Kolhapur via State Highway 97,Bhusawal,Kolhapur,376.64,289,State Highway
SEG-000097,Karaikudi to Uluberia via Highway 10,Karaikudi,Uluberia,288.12,193,Highway
SEG-000098,Mahbubnagar to Ozhukarai via Urban Arterial 84,Mahbubnagar,Ozhukarai,358.52,352,Highway
SEG-000099,Panvel to Faridabad via Urban Arterial 86,Panvel,Faridabad,156.4,105,Urban Arterial
SEG-000100,Bhusawal to Kurnool via Highway 87,Bhusawal,Kurnool,148.17,100,Expressway
SEG-000101,Dindigul to Ujjain via Expressway 30,Dindigul,Ujjain,170.86,114,Rural Road
SEG-000102,Dehri to Madurai via Highway 95,Dehri,Madurai,7.32,7,Highway
SEG-000103,Dibrugarh to Ajmer via Expressway 37,Dibrugarh,Ajmer,201.72,290,Rural Road
SEG-000104,Muzaffarpur to Tinsukia via Rural Road 17,Muzaffarpur,Tinsukia,280.13,280,Expressway
SEG-000105,Rourkela to Bidar via Highway 83,Rourkela,Bidar,10.34,9,State Highway
SEG-000106,Thrissur to Sambhal via Urban Arterial 96,Thrissur,Sambhal,181.0,186,State Highway
SEG-000107,Bhiwandi to Vadodara via State Highway 68,Bhiwandi,Vadodara,378.48,600,Highway
SEG-000108,Anantapuram to Udaipur via Rural Road 64,Anantapuram,Udaipur,59.38,50,Expressway
SEG-000109,New Delhi to Eluru via Urban Arterial 42,New Delhi,Eluru,434.25,293,State Highway
SEG-000110,Mumbai to Malegaon via Urban Arterial 2,Mumbai,Malegaon,76.93,60,Urban Arterial
SEG-000111,Raurkela Industrial Township to Mira-Bhayandar via State Highway 78,Raurkela Industrial Township,Mira-Bhayandar,363.52,493,Expressway
SEG-000112,Cuttack to Sambhal via Rural Road 34,Cuttack,Sambhal,190.88,334,Expressway
SEG-000113,Uluberia to Jabalpur via Highway 18,Uluberia,Jabalpur,371.88,555,Expressway
SEG-000114,Berhampur to Jabalpur via State Highway 2,Berhampur,Jabalpur,483.13,323,State Highway
SEG-000115,Khora  to Proddatur via Rural Road 75,Khora ,Proddatur,243.89,195,Highway
SEG-000116,Katihar to Mau via Highway 3,Katihar,Mau,379.67,600,State Highway
SEG-000117,Gulbarga to Sikar via Rural Road 70,Gulbarga,Sikar,21.97,18,State Highway
SEG-000118,Nanded to Begusarai via Urban Arterial 79,Nanded,Begusarai,400.98,486,State Highway
SEG-000119,Shimla to Bahraich via Expressway 91,Shimla,Bahraich,16.9,15,Urban Arterial
SEG-000120,Bulandshahr to Shimoga via Expressway 88,Bulandshahr,Shimoga,379.63,486,Expressway
SEG-000121,Imphal to Bilaspur via Highway 49,Imphal,Bilaspur,34.95,48,Expressway
SEG-000122,Sangli-Miraj & Kupwad to Gwalior via Expressway 69,Sangli-Miraj & Kupwad,Gwalior,365.09,285,Rural Road
SEG-000123,Nagercoil to Visakhapatnam via Expressway 36,Nagercoil,Visakhapatnam,290.03,206,State Highway
SEG-000124,Jamalpur to Jammu via Rural Road 56,Jamalpur,Jammu,103.66,138,State Highway
SEG-000125,Rajkot to Fatehpur via Expressway 26,Rajkot,Fatehpur,446.37,437,Expressway
SEG-000126,Lucknow to Amaravati via Rural Road 10,Lucknow,Amaravati,189.11,190,Rural Road
SEG-000127,Farrukhabad to Bhiwani via Rural Road 53,Farrukhabad,Bhiwani,423.94,310,State Highway
SEG-000128,Jaunpur to Visakhapatnam via State Highway 33,Jaunpur,Visakhapatnam,270.77,328,State Highway
SEG-000129,Gandhidham to Burhanpur via Expressway 56,Gandhidham,Burhanpur,470.03,600,Urban Arterial
SEG-000130,Indore to Hyderabad via State Highway 32,Indore,Hyderabad,429.2,316,Rural Road
SEG-000131,Bidhannagar to Tinsukia via Urban Arterial 54,Bidhannagar,Tinsukia,48.72,56,Rural Road
SEG-000132,Gulbarga to Vijayanagaram via Highway 48,Gulbarga,Vijayanagaram,80.46,126,State Highway
SEG-000133,Tiruvottiyur to Korba via Expressway 29,Tiruvottiyur,Korba,299.74,550,Highway
SEG-000134,Deoghar to Jaunpur via Highway 70,Deoghar,Jaunpur,425.33,526,State Highway
SEG-000135,Udupi to Indore via Urban Arterial 61,Udupi,Indore,310.46,210,Rural Road
SEG-000136,Raiganj to Gulbarga via Highway 12,Raiganj,Gulbarga,319.38,352,Highway
SEG-000137,Udaipur to Mango via Expressway 20,Udaipur,Mango,143.93,218,Rural Road
SEG-000138,Chapra to Sangli-Miraj & Kupwad via State Highway 26,Chapra,Sangli-Miraj & Kupwad,364.46,250,Expressway
SEG-000139,Ratlam to Raichur via Urban Arterial 32,Ratlam,Raichur,36.53,25,Rural Road
SEG-000140,Guntur to Rampur via Rural Road 12,Guntur,Rampur,121.03,170,State Highway
SEG-000141,Miryalaguda to Kakinada via Expressway 85,Miryalaguda,Kakinada,110.48,74,Urban Arterial
SEG-000142,Bathinda to Dibrugarh via Urban Arterial 72,Bathinda,Dibrugarh,214.55,232,Highway
SEG-000143,Uluberia to Bilaspur via Urban Arterial 52,Uluberia,Bilaspur,349.95,433,Rural Road
SEG-000144,Bhalswa Jahangir Pur to Uluberia via Highway 71,Bhalswa Jahangir Pur,Uluberia,116.36,162,Urban Arterial
SEG-000145,Kolhapur to Hajipur via State Highway 13,Kolhapur,Hajipur,164.95,129,State Highway
SEG-000146,Miryalaguda to Alappuzha via Urban Arterial 15,Miryalaguda,Alappuzha,85.76,97,Urban Arterial
SEG-000147,Proddatur to Haridwar via State Highway 62,Proddatur,Haridwar,404.78,413,State Highway
SEG-000148,Bhiwani to Panvel via Highway 66,Bhiwani,Panvel,5.9,6,State Highway
SEG-000149,Tezpur to Imphal via Rural Road 7,Tezpur,Imphal,18.89,17,Urban Arterial
SEG-000150,Serampore to Darbhanga via State Highway 96,Serampore,Darbhanga,72.02,51,Urban Arterial
SEG-000151,Junagadh to Tiruchirappalli via State Highway 83,Junagadh,Tiruchirappalli,39.25,26,Highway
SEG-000152,Mango to Navi Mumbai via Highway 91,Mango,Navi Mumbai,160.37,120,State Highway
SEG-000153,Sangli-Miraj & Kupwad to Allahabad via Expressway 16,Sangli-Miraj & Kupwad,Allahabad,114.59,82,Expressway
SEG-000154,Thane to Bulandshahr via Urban Arterial 36,Thane,Bulandshahr,170.08,265,Highway
SEG-000155,Coimbatore to Naihati via Expressway 34,Coimbatore,Naihati,129.29,178,Highway
SEG-000156,Jehanabad to Hospet via Urban Arterial 60,Jehanabad,Hospet,448.32,462,State Highway
SEG-000157,Gandhidham to Barasat via Urban Arterial 85,Gandhidham,Barasat,34.48,24,Rural Road
SEG-000158,Sirsa to Warangal via Urban Arterial 91,Sirsa,Warangal,464.44,366,Urban Arterial
SEG-000159,Bhusawal to Durgapur via State Highway 47,Bhusawal,Durgapur,468.5,600,Highway
SEG-000160,Dehri to Visakhapatnam via Expressway 41,Dehri,Visakhapatnam,463.31,600,Expressway
SEG-000161,Secunderabad to Kishanganj via Urban Arterial 37,Secunderabad,Kishanganj,243.24,255,Urban Arterial
SEG-000162,Guntakal to Junagadh via State Highway 61,Guntakal,Junagadh,67.21,133,State Highway
SEG-000163,Siliguri to Nizamabad via Urban Arterial 2,Siliguri,Nizamabad,37.2,58,Highway
SEG-000164,Madhyamgram to Dhule via Expressway 49,Madhyamgram,Dhule,370.37,600,Urban Arterial
SEG-000165,Bhavnagar to Patiala via Highway 98,Bhavnagar,Patiala,269.53,236,Urban Arterial
SEG-000166,Amravati to Alappuzha via Rural Road 7,Amravati,Alappuzha,418.82,600,State Highway
SEG-000167,Madhyamgram to Baranagar via Rural Road 63,Madhyamgram,Baranagar,287.94,312,State Highway
SEG-000168,Alwar to Kota via State Highway 91,Alwar,Kota,461.42,427,Expressway
SEG-000169,Ranchi to Bardhaman via Expressway 56,Ranchi,Bardhaman,218.21,149,Rural Road
SEG-000170,South Dumdum to Ambarnath via Rural Road 19,South Dumdum,Ambarnath,309.54,312,Expressway
SEG-000171,Allahabad to Vijayawada via Rural Road 10,Allahabad,Vijayawada,472.61,600,Rural Road
SEG-000172,Bhatpara to Gangtok via Highway 49,Bhatpara,Gangtok,70.62,88,Urban Arterial
SEG-000173,Vasai-Virar to Kozhikode via State Highway 66,Vasai-Virar,Kozhikode,476.2,380,Expressway
SEG-000174,Erode to Danapur via Highway 46,Erode,Danapur,96.63,155,Highway
SEG-000175,Gandhidham to Chinsurah via Rural Road 28,Gandhidham,Chinsurah,388.29,389,Highway
SEG-000176,Kakinada to Gandhinagar via Highway 4,Kakinada,Gandhinagar,189.32,322,Highway
SEG-000177,Kollam to Jalna via Expressway 83,Kollam,Jalna,320.18,414,Urban Arterial
SEG-000178,Moradabad to Chittoor via Highway 78,Moradabad,Chittoor,431.9,600,State Highway
SEG-000179,Shimoga to Gurgaon via Expressway 30,Shimoga,Gurgaon,308.67,408,State Highway
SEG-000180,Mirzapur to Eluru via State Highway 18,Mirzapur,Eluru,114.93,104,Urban Arterial
SEG-000181,Nagpur to Farrukhabad via Expressway 42,Nagpur,Farrukhabad,334.05,276,Rural Road
SEG-000182,Akola to Nagaon via Highway 85,Akola,Nagaon,46.1,37,Highway
SEG-000183,Bulandshahr to Nanded via Urban Arterial 25,Bulandshahr,Nanded,203.99,143,Highway
SEG-000184,Bhavnagar to Karnal via State Highway 89,Bhavnagar,Karnal,327.76,245,State Highway
SEG-000185,Jorhat to Buxar via Expressway 23,Jorhat,Buxar,44.95,70,Highway
SEG-000186,Morbi to Sirsa via Expressway 92,Morbi,Sirsa,41.11,33,State Highway
SEG-000187,Dehradun to Vijayanagaram via Highway 11,Dehradun,Vijayanagaram,82.03,88,Rural Road
SEG-000188,Meerut to Chennai via State Highway 89,Meerut,Chennai,353.92,600,Highway
SEG-000189,Nellore to Amravati via Urban Arterial 88,Nellore,Amravati,191.38,276,Rural Road
SEG-000190,Jhansi to Rampur via Urban Arterial 75,Jhansi,Rampur,243.24,379,Urban Arterial
SEG-000191,Sagar to Ambarnath via Urban Arterial 10,Sagar,Ambarnath,146.52,150,State Highway
SEG-000192,Imphal to Coimbatore via Rural Road 3,Imphal,Coimbatore,18.09,21,Highway
SEG-000193,Panipat to Tadipatri via Expressway 41,Panipat,Tadipatri,27.61,21,Highway
SEG-000194,Bellary to Munger via Urban Arterial 7,Bellary,Munger,459.53,600,Highway
SEG-000195,Akola to Junagadh via Expressway 92,Akola,Junagadh,129.88,144,Highway
SEG-000196,Machilipatnam to Bihar Sharif via Highway 43,Machilipatnam,Bihar Sharif,118.2,208,State Highway
SEG-000197,North Dumdum to Jalna via State Highway 70,North Dumdum,Jalna,375.21,435,Expressway
SEG-000198,Pali to Hubli–Dharwad via Rural Road 19,Pali,Hubli–Dharwad,307.73,228,Expressway
SEG-000199,Bokaro to Bidar via Rural Road 74,Bokaro,Bidar,317.03,547,Urban Arterial
SEG-000200,Navi Mumbai to Hyderabad via Expressway 36,Navi Mumbai,Hyderabad,205.2,235,Rural Road
SEG-000201,Amritsar to Berhampur via Rural Road 20,Amritsar,Berhampur,317.77,247,Urban Arterial
SEG-000202,Madhyamgram to Latur via Expressway 19,Madhyamgram,Latur,341.67,349,Urban Arterial
SEG-000203,Srikakulam to Bhind via Rural Road 13,Srikakulam,Bhind,241.62,180,Urban Arterial
SEG-000204,Ambarnath to Kakinada via Expressway 44,Ambarnath,Kakinada,190.94,322,Urban Arterial
SEG-000205,Salem to Firozabad via Rural Road 40,Salem,Firozabad,287.85,472,Highway
SEG-000206,Sagar to Hospet via Urban Arterial 54,Sagar,Hospet,112.07,180,Rural Road
SEG-000207,Jaipur to Sambhal via Highway 15,Jaipur,Sambhal,151.41,168,Expressway
SEG-000208,Imphal to Bidar via Highway 69,Imphal,Bidar,140.07,264,State Highway
SEG-000209,Gudivada to Guna via Expressway 20,Gudivada,Guna,311.6,461,Highway
SEG-000210,Moradabad to Rohtak via Rural Road 35,Moradabad,Rohtak,345.79,239,Highway
SEG-000211,Fatehpur to Karaikudi via State Highway 39,Fatehpur,Karaikudi,476.36,330,Expressway
SEG-000212,Kota to Chinsurah via Urban Arterial 20,Kota,Chinsurah,214.97,201,Highway
SEG-000213,Jorhat to Gandhinagar via Highway 11,Jorhat,Gandhinagar,364.19,600,Rural Road
SEG-000214,Rourkela to Nellore via State Highway 68,Rourkela,Nellore,300.56,241,Urban Arterial
SEG-000215,Junagadh to Gandhidham via Rural Road 25,Junagadh,Gandhidham,176.44,142,Urban Arterial
SEG-000216,Kurnool to Solapur via Urban Arterial 60,Kurnool,Solapur,21.26,16,State Highway
SEG-000217,Unnao to Rewa via Expressway 72,Unnao,Rewa,179.42,206,Urban Arterial
SEG-000218,Malda to Jammu via Expressway 63,Malda,Jammu,457.11,600,Rural Road
SEG-000219,Khora  to Kulti via State Highway 94,Khora ,Kulti,490.42,503,Expressway
SEG-000220,Dindigul to Madanapalle via State Highway 35,Dindigul,Madanapalle,156.41,203,Urban Arterial
SEG-000221,Naihati to Silchar via Urban Arterial 90,Naihati,Silchar,455.65,495,Expressway
SEG-000222,Dindigul to Gudivada via Rural Road 78,Dindigul,Gudivada,116.77,208,Highway
SEG-000223,Morbi to Coimbatore via Urban Arterial 41,Morbi,Coimbatore,264.53,277,Expressway
SEG-000224,Vijayanagaram to Khora  via State Highway 18,Vijayanagaram,Khora ,356.75,378,Rural Road
SEG-000225,Morbi to Secunderabad via Expressway 50,Morbi,Secunderabad,151.53,125,Highway
SEG-000226,Hajipur to Amritsar via Urban Arterial 50,Hajipur,Amritsar,469.1,384,State Highway
SEG-000227,Nandyal to Allahabad via State Highway 77,Nandyal,Allahabad,368.59,352,State Highway
SEG-000228,Unnao to Morena via Urban Arterial 1,Unnao,Morena,169.61,128,Highway
SEG-000229,Anand to Ichalkaranji via Highway 54,Anand,Ichalkaranji,375.6,412,Expressway
SEG-000230,Mehsana to Vijayanagaram via Urban Arterial 40,Mehsana,Vijayanagaram,208.34,159,Highway
SEG-000231,Chittoor to Sonipat via Highway 32,Chittoor,Sonipat,42.39,50,Expressway
SEG-000232,Nadiad to Jorhat via Rural Road 8,Nadiad,Jorhat,315.82,594,Expressway
SEG-000233,Parbhani to Jalna via Highway 18,Parbhani,Jalna,236.68,275,Rural Road
SEG-000234,Tinsukia to Yamunanagar via Urban Arterial 66,Tinsukia,Yamunanagar,190.27,264,State Highway
SEG-000235,Kolkata to Nagercoil via Rural Road 35,Kolkata,Nagercoil,141.17,102,Urban Arterial
SEG-000236,Bhiwani to Buxar via Expressway 31,Bhiwani,Buxar,76.69,52,Expressway
SEG-000237,Varanasi to Sultan Pur Majra via State Highway 26,Varanasi,Sultan Pur Majra,473.66,518,Urban Arterial
SEG-000238,Bhatpara to Mathura via Urban Arterial 8,Bhatpara,Mathura,404.23,342,Expressway
SEG-000239,Jalna to Gopalpur via Urban Arterial 37,Jalna,Gopalpur,400.15,291,State Highway
SEG-000240,Nashik to Udaipur via Rural Road 24,Nashik,Udaipur,386.54,600,Rural Road
SEG-000241,Dehradun to Kurnool via State Highway 43,Dehradun,Kurnool,450.61,389,Highway
SEG-000242,Belgaum to Bongaigaon via Highway 6,Belgaum,Bongaigaon,203.52,143,Highway
SEG-000243,Thoothukudi to Nagercoil via State Highway 84,Thoothukudi,Nagercoil,436.14,600,Urban Arterial
SEG-000244,Panipat to Shivpuri via Urban Arterial 69,Panipat,Shivpuri,311.11,262,Rural Road
SEG-000245,Gulbarga to Malda via State Highway 11,Gulbarga,Malda,412.72,521,Rural Road
SEG-000246,Raurkela Industrial Township to Vasai-Virar via State Highway 44,Raurkela Industrial Township,Vasai-Virar,301.4,238,Expressway
SEG-000247,South Dumdum to Pondicherry via State Highway 31,South Dumdum,Pondicherry,489.16,328,Rural Road
SEG-000248,Gandhinagar to Kottayam via State Highway 4,Gandhinagar,Kottayam,227.5,441,State Highway
SEG-000249,Barasat to Guntur via Rural Road 77,Barasat,Guntur,146.66,243,Urban Arterial
SEG-000250,Bijapur to Pune via Expressway 78,Bijapur,Pune,134.01,107,Rural Road
SEG-000251,Rewa to Katihar via Rural Road 36,Rewa,Katihar,478.68,435,Rural Road
SEG-000252,Kavali to Mysore via Expressway 43,Kavali,Mysore,154.27,161,State Highway
SEG-000253,Shimoga to Tirupati via Expressway 69,Shimoga,Tirupati,462.28,408,Urban Arterial
SEG-000254,Gaya to Phagwara via Highway 62,Gaya,Phagwara,140.89,106,State Highway
SEG-000255,Ahmedabad to Amroha via Rural Road 39,Ahmedabad,Amroha,218.99,341,Urban Arterial
SEG-000256,Naihati to Ozhukarai via Urban Arterial 72,Naihati,Ozhukarai,474.54,366,Rural Road
SEG-000257,Patiala to Siwan via Urban Arterial 33,Patiala,Siwan,161.96,242,Highway
SEG-000258,Bokaro to Jhansi via Highway 54,Bokaro,Jhansi,406.82,479,Rural Road
SEG-000259,Bhusawal to Narasaraopet via Rural Road 9,Bhusawal,Narasaraopet,119.06,105,State Highway
SEG-000260,Gangtok to Noida via Expressway 14,Gangtok,Noida,267.64,192,Highway
SEG-000261,Kolhapur to Katihar via State Highway 94,Kolhapur,Katihar,123.32,162,Highway
SEG-000262,Kharagpur to Mysore via Rural Road 56,Kharagpur,Mysore,431.8,419,Rural Road
SEG-000263,Bilaspur to Raipur via State Highway 24,Bilaspur,Raipur,77.31,113,Rural Road
SEG-000264,Haldia to Bilaspur via Expressway 38,Haldia,Bilaspur,28.92,22,State Highway
SEG-000265,Dehri to Bilaspur via State Highway 87,Dehri,Bilaspur,87.4,64,Urban Arterial
SEG-000266,Berhampur to Dindigul via Expressway 26,Berhampur,Dindigul,312.2,214,State Highway
SEG-000267,Purnia to Saharanpur via Rural Road 46,Purnia,Saharanpur,382.26,286,Expressway
SEG-000268,Raiganj to Jamnagar via Expressway 49,Raiganj,Jamnagar,422.2,537,Highway
SEG-000269,Raipur to Ramgarh via Highway 41,Raipur,Ramgarh,378.37,378,Highway
SEG-000270,Tiruvottiyur to Nanded via Highway 2,Tiruvottiyur,Nanded,167.78,147,Expressway
SEG-000271,Mysore to Serampore via Highway 67,Mysore,Serampore,291.31,299,Highway
