traffic_id,city_name,area_or_road_segment,timestamp,traffic_level,average_speed_kph,incident_type,incident_description,estimated_delay_minutes
TRF-0000037,Panihati,Marine Drive,2025-08-29 18:43:13,Heavy,25.6,None,None,0
TRF-0000038,Jamalpur,Outer Ring Road,2025-08-29 19:13:13,Severe,5.2,None,None,0
TRF-0000039,Panihati,Old Airport Road,2025-08-29 19:14:13,Moderate,70.9,None,None,0
TRF-0000040,Morbi,Outer Ring Road,2025-08-29 18:29:13,Severe,6.9,None,None,0
TRF-0000041,Bidhannagar,Marine Drive,2025-08-29 19:38:13,Moderate,23.9,None,None,0
TRF-0000042,Dindigul,MG Road,2025-08-29 18:31:13,Moderate,57.3,Vehicle Breakdown,Vehicle Breakdown reported near MG Road in Dindigul.,119
TRF-0000043,Ambattur,Outer Ring Road,2025-08-29 19:34:13,Heavy,27.3,Construction,Construction reported near Outer Ring Road in Ambattur.,87
TRF-0000044,Gorakhpur,Western Express Highway,2025-08-29 18:14:13,Heavy,19.0,None,None,0
TRF-0000045,Jalna,Western Express Highway,2025-08-29 18:05:13,Severe,9.6,Accident,Accident reported near Western Express Highway in Jalna.,22
TRF-0000046,Anand,Western Express Highway,2025-08-29 19:41:13,Heavy,16.0,None,None,0
TRF-0000047,Bhind,Outer Ring Road,2025-08-29 19:50:13,Low,58.1,None,None,0
TRF-0000048,Jalandhar,ITPL Main Road,2025-08-29 18:03:13,Low,67.9,Construction,Construction reported near ITPL Main Road in Jalandhar.,101
TRF-0000049,Ludhiana,Marine Drive,2025-08-29 19:32:13,Low,77.8,None,None,0
TRF-0000050,Patna,Hyderabad-Mumbai Highway,2025-08-29 18:40:13,Moderate,63.1,None,None,0
TRF-0000051,Bhind,Western Express Highway,2025-08-29 18:44:13,Severe,9.7,None,None,0
TRF-0000052,Madanapalle,Old Airport Road,2025-08-29 19:46:13,Heavy,16.1,Road Closure,Road Closure reported near Old Airport Road in Madanapalle.,32
TRF-0000053,Bhilai,Marine Drive,2025-08-29 19:23:13,Moderate,52.8,Road Closure,Road Closure reported near Marine Drive in Bhilai.,77
TRF-0000054,Dibrugarh,Marine Drive,2025-08-29 19:59:13,Heavy,26.6,Road Closure,Road Closure reported near Marine Drive in Dibrugarh.,67
TRF-0000055,Bulandshahr,Anna Salai,2025-08-29 19:06:13,Moderate,65.5,None,None,0
TRF-0000056,Bally,Anna Salai,2025-08-29 18:58:13,Low,43.9,None,None,0
TRF-0000057,Sambalpur,MG Road,2025-08-29 18:47:13,Low,33.3,None,None,0
TRF-0000058,Bhatpara,Connaught Place,2025-08-29 19:19:13,Moderate,48.4,None,None,0
TRF-0000059,Mau,NH44 Bypass,2025-08-29 19:03:13,Heavy,17.3,Accident,Accident reported near NH44 Bypass in Mau.,44
TRF-0000060,Yamunanagar,Connaught Place,2025-08-29 19:11:13,Heavy,23.6,None,None,0
TRF-0000061,Guntur,NH44 Bypass,2025-08-29 19:11:13,Moderate,74.7,None,None,0
TRF-0000062,Pune,ITPL Main Road,2025-08-29 19:29:13,Low,77.2,None,None,0
TRF-0000063,Rajkot,MG Road,2025-08-29 19:04:13,Low,44.7,None,None,0
TRF-0000064,Thrissur,MG Road,2025-08-29 19:47:13,Low,9.0,Vehicle Breakdown,Vehicle Breakdown reported near MG Road in Thrissur.,52
TRF-0000065,Navi Mumbai,Connaught Place,2025-08-29 19:28:13,Heavy,28.6,None,None,0
TRF-0000066,Parbhani,Hyderabad-Mumbai Highway,2025-08-29 19:08:13,Low,65.0,Accident,Accident reported near Hyderabad-Mumbai Highway in Parbhani.,83
TRF-0000067,Indore,Western Express Highway,2025-08-29 19:02:13,Severe,8.3,None,None,0
TRF-0000068,Firozabad,Anna Salai,2025-08-29 18:46:13,Low,23.9,Accident,Accident reported near Anna Salai in Firozabad.,18
TRF-0000069,Shimoga,Outer Ring Road,2025-08-29 18:07:13,Low,29.8,Road Closure,Road Closure reported near Outer Ring Road in Shimoga.,54
TRF-0000070,Delhi,Marine Drive,2025-08-29 18:50:13,Moderate,73.3,Construction,Construction reported near Marine Drive in Delhi.,76
TRF-0000071,Kamarhati,NH44 Bypass,2025-08-29 19:53:13,Moderate,72.4,None,None,0
TRF-0000072,Parbhani,MG Road,2025-08-29 19:41:13,Low,78.3,None,None,0
TRF-0000073,Bhind,Hyderabad-Mumbai Highway,2025-08-29 19:12:13,Low,63.8,None,None,0
TRF-0000074,Hyderabad,Old Airport Road,2025-08-29 19:21:13,Severe,5.7,None,None,0
TRF-0000075,Hyderabad,Old Airport Road,2025-08-29 18:59:13,Moderate,79.0,None,None,0
TRF-0000076,Jamalpur,Marine Drive,2025-08-29 18:48:13,Low,44.5,None,None,0
TRF-0000077,Akola,Marine Drive,2025-08-29 18:02:13,Moderate,68.0,None,None,0
TRF-0000078,Baranagar,Marine Drive,2025-08-29 18:28:13,Severe,5.9,Accident,Accident reported near Marine Drive in Baranagar.,78
TRF-0000079,Burhanpur,MG Road,2025-08-29 19:58:13,Low,50.1,None,None,0
TRF-0000080,Haldia,Anna Salai,2025-08-29 19:06:13,Moderate,47.9,Road Closure,Road Closure reported near Anna Salai in Haldia.,15
TRF-0000081,Thrissur,Western Express Highway,2025-08-29 19:10:13,Low,62.1,None,None,0
TRF-0000082,Pune,NH44 Bypass,2025-08-29 19:58:13,Moderate,38.5,None,None,0
TRF-0000083,Shahjahanpur,Connaught Place,2025-08-29 19:17:13,Heavy,16.1,Accident,Accident reported near Connaught Place in Shahjahanpur.,51
TRF-0000084,Mahbubnagar,Old Airport Road,2025-08-29 19:09:13,Moderate,33.1,None,None,0
TRF-0000085,Gwalior,Western Express Highway,2025-08-29 19:52:13,Severe,5.8,None,None,0
TRF-0000086,Thiruvananthapuram,Connaught Place,2025-08-29 18:04:13,Heavy,17.6,None,None,0
TRF-0000087,Dhanbad,Hyderabad-Mumbai Highway,2025-08-29 19:15:13,Moderate,68.5,Vehicle Breakdown,Vehicle Breakdown reported near Hyderabad-Mumbai Highway in Dhanbad.,110
TRF-0000088,Jodhpur,ITPL Main Road,2025-08-29 18:02:13,Severe,14.5,Accident,Accident reported near ITPL Main Road in Jodhpur.,102
TRF-0000089,Karimnagar,Outer Ring Road,2025-08-29 17:59:13,Heavy,23.9,Construction,Construction reported near Outer Ring Road in Karimnagar.,93
TRF-0000090,Anand,Marine Drive,2025-08-29 19:32:13,Moderate,71.3,None,None,0
TRF-0000091,Dehri,MG Road,2025-08-29 19:25:13,Low,48.8,None,None,0
TRF-0000092,Akola,Outer Ring Road,2025-08-29 19:21:13,Low,25.8,Accident,Accident reported near Outer Ring Road in Akola.,69
TRF-0000093,Rewa,Old Airport Road,2025-08-29 19:11:13,Moderate,60.5,None,None,0
TRF-0000094,Mirzapur,Old Airport Road,2025-08-29 19:23:13,Moderate,50.2,Construction,Construction reported near Old Airport Road in Mirzapur.,102
TRF-0000095,Pudukkottai,MG Road,2025-08-29 19:26:13,Heavy,20.4,None,None,0
TRF-0000096,Agartala,Hyderabad-Mumbai Highway,2025-08-29 19:20:13,Heavy,27.1,None,None,0
TRF-0000097,Vellore,Western Express Highway,2025-08-29 18:39:13,Low,25.7,None,None,0
TRF-0000098,Pudukkottai,Marine Drive,2025-08-29 19:33:13,Moderate,47.2,None,None,0
TRF-0000099,Kurnool,Outer Ring Road,2025-08-29 18:27:13,Moderate,64.7,None,None,0
TRF-0000100,Pali,Hyderabad-Mumbai Highway,2025-08-29 19:00:13,Low,74.0,None,None,0
TRF-0000101,Siliguri,Marine Drive,2025-08-29 18:57:13,Heavy,22.3,Accident,Accident reported near Marine Drive in Siliguri.,50
TRF-0000102,Jalandhar,Anna Salai,2025-08-29 19:57:13,Low,21.8,None,None,0
TRF-0000103,Bijapur,Anna Salai,2025-08-29 19:56:13,Heavy,29.5,None,None,0
TRF-0000104,Unnao,Western Express Highway,2025-08-29 19:04:13,Moderate,73.7,None,None,0
TRF-0000105,Barasat,Outer Ring Road,2025-08-29 18:58:13,Low,78.4,Road Closure,Road Closure reported near Outer Ring Road in Barasat.,40
TRF-0000106,Bangalore,Connaught Place,2025-08-29 19:52:13,Low,5.5,None,None,0
TRF-0000107,Sambalpur,MG Road,2025-08-29 18:42:13,Heavy,17.8,None,None,0
TRF-0000108,Jamshedpur,Old Airport Road,2025-08-29 18:12:13,Low,41.3,Accident,Accident reported near Old Airport Road in Jamshedpur.,17
TRF-0000109,Jehanabad,ITPL Main Road,2025-08-29 19:40:13,Heavy,16.2,Accident,Accident reported near ITPL Main Road in Jehanabad.,0
TRF-0000110,Haldia,Hyderabad-Mumbai Highway,2025-08-29 19:53:13,Low,69.0,None,None,0
TRF-0000111,Khora ,ITPL Main Road,2025-08-29 19:41:13,Low,57.8,None,None,0
TRF-0000112,Jodhpur,ITPL Main Road,2025-08-29 18:21:13,Heavy,26.3,None,None,0
TRF-0000113,Kharagpur,Outer Ring Road,2025-08-29 19:01:13,Low,54.2,None,None,0
TRF-0000114,Agartala,Old Airport Road,2025-08-29 18:07:13,Heavy,27.8,Construction,Construction reported near Old Airport Road in Agartala.,76
TRF-0000115,Dehri,MG Road,2025-08-29 18:40:13,Low,39.8,None,None,0
TRF-0000116,Junagadh,NH44 Bypass,2025-08-29 19:03:13,Low,48.1,None,None,0
TRF-0000117,Proddatur,Marine Drive,2025-08-29 19:38:13,Low,7.8,Construction,Construction reported near Marine Drive in Proddatur.,34
TRF-0000118,Madanapalle,MG Road,2025-08-29 18:06:13,Low,6.7,None,None,0
TRF-0000119,Tezpur,Western Express Highway,2025-08-29 18:37:13,Low,34.8,Accident,Accident reported near Western Express Highway in Tezpur.,6
TRF-0000120,Buxar,MG Road,2025-08-29 18:29:13,Heavy,28.6,None,None,0
TRF-0000121,Malda,Hyderabad-Mumbai Highway,2025-08-29 19:31:13,Low,25.9,Accident,Accident reported near Hyderabad-Mumbai Highway in Malda.,56
TRF-0000122,Vijayanagaram,Western Express Highway,2025-08-29 19:47:13,Moderate,29.3,Vehicle Breakdown,Vehicle Breakdown reported near Western Express Highway in Vijayanagaram.,16
TRF-0000123,Guntakal,NH44 Bypass,2025-08-29 19:42:13,Low,42.3,Construction,Construction reported near NH44 Bypass in Guntakal.,16
TRF-0000124,Hapur,Connaught Place,2025-08-29 19:26:13,Moderate,18.4,None,None,0
TRF-0000125,Ramagundam,Connaught Place,2025-08-29 18:08:13,Low,53.2,None,None,0
TRF-0000126,Giridih,MG Road,2025-08-29 18:52:13,Heavy,21.8,Accident,Accident reported near MG Road in Giridih.,14
TRF-0000127,Bikaner,Old Airport Road,2025-08-29 18:25:13,Moderate,41.0,Construction,Construction reported near Old Airport Road in Bikaner.,91
TRF-0000128,Dewas,Hyderabad-Mumbai Highway,2025-08-29 19:00:13,Low,19.8,None,None,0
TRF-0000129,Haldia,Western Express Highway,2025-08-29 18:54:13,Moderate,22.5,None,None,0
TRF-0000130,Anand,MG Road,2025-08-29 18:14:13,Low,32.3,Road Closure,Road Closure reported near MG Road in Anand.,89
TRF-0000131,Dhanbad,ITPL Main Road,2025-08-29 19:01:13,Low,46.3,Vehicle Breakdown,Vehicle Breakdown reported near ITPL Main Road in Dhanbad.,67
TRF-0000132,Ambattur,Old Airport Road,2025-08-29 19:46:13,Low,43.3,Accident,Accident reported near Old Airport Road in Ambattur.,110
TRF-0000133,Moradabad,Outer Ring Road,2025-08-29 19:26:13,Moderate,5.6,Construction,Construction reported near Outer Ring Road in Moradabad.,48
TRF-0000134,Noida,ITPL Main Road,2025-08-29 19:41:13,Low,20.9,None,None,0
TRF-0000135,Warangal,NH44 Bypass,2025-08-29 18:09:13,Low,51.3,None,None,0
TRF-0000136,Asansol,Connaught Place,2025-08-29 19:40:13,Moderate,52.1,None,None,0
TRF-0000137,Pune,MG Road,2025-08-29 19:45:13,Moderate,76.8,None,None,0
TRF-0000138,Ranchi,NH44 Bypass,2025-08-29 19:37:13,Moderate,18.2,Road Closure,Road Closure reported near NH44 Bypass in Ranchi.,47
TRF-0000139,Coimbatore,Western Express Highway,2025-08-29 18:21:13,Moderate,47.9,None,None,0
TRF-0000140,Varanasi,Outer Ring Road,2025-08-29 19:48:13,Heavy,20.6,None,None,0
TRF-0000141,Ahmedabad,Old Airport Road,2025-08-29 18:08:13,Low,56.2,None,None,0
TRF-0000142,Thiruvananthapuram,Old Airport Road,2025-08-29 19:31:13,Low,37.4,Vehicle Breakdown,Vehicle Breakdown reported near Old Airport Road in Thiruvananthapuram.,32
TRF-0000143,Rohtak,ITPL Main Road,2025-08-29 18:42:13,Heavy,19.7,Accident,Accident reported near ITPL Main Road in Rohtak.,56
TRF-0000144,Ramgarh,MG Road,2025-08-29 19:41:13,Low,48.9,None,None,0
TRF-0000145,Varanasi,ITPL Main Road,2025-08-29 18:27:13,Moderate,53.6,None,None,0
TRF-0000146,Jammu,Old Airport Road,2025-08-29 18:41:13,Heavy,28.9,Accident,Accident reported near Old Airport Road in Jammu.,13
TRF-0000147,Darbhanga,Marine Drive,2025-08-29 19:52:13,Moderate,17.9,Road Closure,Road Closure reported near Marine Drive in Darbhanga.,40
TRF-0000148,Bardhaman,Hyderabad-Mumbai Highway,2025-08-29 19:52:13,Heavy,15.7,Accident,Accident reported near Hyderabad-Mumbai Highway in Bardhaman.,30
TRF-0000149,Tadepalligudem,Hyderabad-Mumbai Highway,2025-08-29 18:06:13,Low,56.6,None,None,0
TRF-0000150,Chittoor,Western Express Highway,2025-08-29 19:29:13,Moderate,73.5,None,None,0
TRF-0000151,Mumbai,MG Road,2025-08-29 18:40:13,Low,79.9,None,None,0
TRF-0000152,Howrah,Western Express Highway,2025-08-29 19:24:13,Heavy,19.1,None,None,0
TRF-0000153,Agartala,Western Express Highway,2025-08-29 18:30:13,Low,72.0,Road Closure,Road Closure reported near Western Express Highway in Agartala.,19
TRF-0000154,Bhimavaram,MG Road,2025-08-29 18:10:13,Low,61.7,None,None,0
TRF-0000155,Silchar,Anna Salai,2025-08-29 18:44:13,Low,68.3,None,None,0
TRF-0000156,Buxar,Marine Drive,2025-08-29 18:43:13,Severe,10.2,Construction,Construction reported near Marine Drive in Buxar.,90
TRF-0000157,Chapra,Marine Drive,2025-08-29 19:45:13,Moderate,19.0,Road Closure,Road Closure reported near Marine Drive in Chapra.,12
TRF-0000158,Aurangabad,Anna Salai,2025-08-29 19:22:13,Moderate,30.2,Accident,Accident reported near Anna Salai in Aurangabad.,15
TRF-0000159,Ahmedabad,Marine Drive,2025-08-29 18:05:13,Low,5.6,Accident,Accident reported near Marine Drive in Ahmedabad.,89
TRF-0000160,Singrauli,Outer Ring Road,2025-08-29 19:38:13,Low,71.8,None,None,0
TRF-0000161,Bhind,ITPL Main Road,2025-08-29 18:18:13,Low,23.1,Road Closure,Road Closure reported near ITPL Main Road in Bhind.,8
TRF-0000162,Pali,Outer Ring Road,2025-08-29 18:26:13,Heavy,16.3,None,None,0
TRF-0000163,Firozabad,Connaught Place,2025-08-29 18:33:13,Heavy,18.5,None,None,0
TRF-0000164,Panipat,Hyderabad-Mumbai Highway,2025-08-29 18:06:13,Low,72.3,Construction,Construction reported near Hyderabad-Mumbai Highway in Panipat.,105
TRF-0000165,Muzaffarpur,ITPL Main Road,2025-08-29 19:32:13,Low,32.8,Road Closure,Road Closure reported near ITPL Main Road in Muzaffarpur.,5
TRF-0000166,Junagadh,NH44 Bypass,2025-08-29 18:18:13,Low,65.4,None,None,0
TRF-0000167,Singrauli,Connaught Place,2025-08-29 19:55:13,Low,55.6,None,None,0
TRF-0000168,Imphal,Hyderabad-Mumbai Highway,2025-08-29 18:05:13,Low,16.5,None,None,0
TRF-0000169,Gulbarga,Outer Ring Road,2025-08-29 18:20:13,Moderate,32.1,None,None,0
TRF-0000170,Nizamabad,Connaught Place,2025-08-29 19:02:13,Low,30.4,None,None,0
TRF-0000171,Agartala,ITPL Main Road,2025-08-29 19:40:13,Heavy,17.6,None,None,0
TRF-0000172,Jorhat,Anna Salai,2025-08-29 18:25:13,Low,32.1,None,None,0
TRF-0000173,Jamnagar,Western Express Highway,2025-08-29 18:19:13,Low,68.4,None,None,0
TRF-0000174,Warangal,Outer Ring Road,2025-08-29 18:30:13,Severe,10.2,Road Closure,Road Closure reported near Outer Ring Road in Warangal.,44
TRF-0000175,Bhalswa Jahangir Pur,Outer Ring Road,2025-08-29 19:03:13,Moderate,45.2,Accident,Accident reported near Outer Ring Road in Bhalswa Jahangir Pur.,75
TRF-0000176,Vellore,Hyderabad-Mumbai Highway,2025-08-29 18:02:13,Low,17.1,Road Closure,Road Closure reported near Hyderabad-Mumbai Highway in Vellore.,83
TRF-0000177,Rajpur Sonarpur,Connaught Place,2025-08-29 18:57:13,Heavy,25.2,None,None,0
TRF-0000178,Bhimavaram,Western Express Highway,2025-08-29 18:55:13,Low,14.5,None,None,0
TRF-0000179,Ahmednagar,Hyderabad-Mumbai Highway,2025-08-29 19:28:13,Low,68.8,None,None,0
TRF-0000180,Nellore,ITPL Main Road,2025-08-29 19:44:13,Severe,7.3,Road Closure,Road Closure reported near ITPL Main Road in Nellore.,83
TRF-0000181,Silchar,Outer Ring Road,2025-08-29 18:01:13,Low,78.7,None,None,0
TRF-0000182,Tiruvottiyur,Anna Salai,2025-08-29 18:57:13,Moderate,69.2,None,None,0
TRF-0000183,Pimpri-Chinchwad,Marine Drive,2025-08-29 19:46:13,Moderate,15.1,None,None,0
TRF-0000184,Mysore,ITPL Main Road,2025-08-29 18:58:13,Moderate,66.9,None,None,0
TRF-0000185,Mysore,Hyderabad-Mumbai Highway,2025-08-29 19:35:13,Low,9.5,None,None,0
TRF-0000186,Durgapur,Old Airport Road,2025-08-29 19:12:13,Low,32.1,Accident,Accident reported near Old Airport Road in Durgapur.,47
TRF-0000187,Shivpuri,MG Road,2025-08-29 18:16:13,Heavy,25.8,None,None,0
TRF-0000188,Kalyan-Dombivli,MG Road,2025-08-29 19:30:13,Moderate,50.4,None,None,0
TRF-0000189,Bhusawal,Connaught Place,2025-08-29 18:40:13,Low,55.2,Accident,Accident reported near Connaught Place in Bhusawal.,57
TRF-0000190,Hindupur,Marine Drive,2025-08-29 19:26:13,Heavy,28.1,None,None,0
TRF-0000191,Adoni,Outer Ring Road,2025-08-29 18:52:13,Heavy,22.1,Road Closure,Road Closure reported near Outer Ring Road in Adoni.,106
TRF-0000192,Kolhapur,Anna Salai,2025-08-29 18:15:13,Moderate,7.9,None,None,0
TRF-0000193,Visakhapatnam,ITPL Main Road,2025-08-29 18:25:13,Moderate,56.1,None,None,0
TRF-0000194,Mangalore,Outer Ring Road,2025-08-29 18:27:13,Heavy,29.8,None,None,0
TRF-0000195,Hospet,Outer Ring Road,2025-08-29 18:50:13,Low,38.3,Road Closure,Road Closure reported near Outer Ring Road in Hospet.,30
TRF-0000196,Giridih,Hyderabad-Mumbai Highway,2025-08-29 18:17:13,Low,11.5,Vehicle Breakdown,Vehicle Breakdown reported near Hyderabad-Mumbai Highway in Giridih.,69
TRF-0000197,Sikar,NH44 Bypass,2025-08-29 19:31:13,Moderate,56.1,Road Closure,Road Closure reported near NH44 Bypass in Sikar.,42
TRF-0000198,Ramagundam,Marine Drive,2025-08-29 18:42:13,Low,13.6,None,None,0
TRF-0000199,Satara,Hyderabad-Mumbai Highway,2025-08-29 19:06:13,Severe,10.5,Road Closure,Road Closure reported near Hyderabad-Mumbai Highway in Satara.,14
TRF-0000200,Korba,Western Express Highway,2025-08-29 19:06:13,Moderate,67.6,Accident,Accident reported near Western Express Highway in Korba.,103
TRF-0000201,Darbhanga,Connaught Place,2025-08-29 18:02:13,Heavy,28.6,None,None,0
TRF-0000202,Panvel,Western Express Highway,2025-08-29 19:56:13,Low,54.7,Vehicle Breakdown,Vehicle Breakdown reported near Western Express Highway in Panvel.,9
TRF-0000203,Hospet,Marine Drive,2025-08-29 19:07:13,Heavy,25.0,None,None,0
TRF-0000204,Farrukhabad,NH44 Bypass,2025-08-29 18:58:13,Low,8.5,None,None,0
TRF-0000205,Hosur,Connaught Place,2025-08-29 18:21:13,Moderate,33.2,None,None,0
TRF-0000206,Hajipur,MG Road,2025-08-29 18:19:13,Moderate,27.8,None,None,0
TRF-0000207,Purnia,Connaught Place,2025-08-29 19:44:13,Low,25.4,Road Closure,Road Closure reported near Connaught Place in Purnia.,54
TRF-0000208,Bhilwara,MG Road,2025-08-29 19:11:13,Low,49.7,None,None,0
TRF-0000209,Tadipatri,Old Airport Road,2025-08-29 18:59:13,Low,76.5,None,None,0
TRF-0000210,Bidhannagar,Western Express Highway,2025-08-29 19:08:13,Moderate,38.3,None,None,0
TRF-0000211,Baranagar,Western Express Highway,2025-08-29 18:41:13,Low,29.7,None,None,0
TRF-0000212,Sasaram,ITPL Main Road,2025-08-29 19:27:13,Moderate,49.0,Accident,Accident reported near ITPL Main Road in Sasaram.,9
TRF-0000213,Kamarhati,Marine Drive,2025-08-29 19:05:13,Heavy,21.6,None,None,0
TRF-0000214,Madanapalle,ITPL Main Road,2025-08-29 18:01:13,Moderate,49.4,None,None,0
TRF-0000215,Khandwa,NH44 Bypass,2025-08-29 18:50:13,Moderate,35.6,None,None,0
TRF-0000216,Kadapa,Old Airport Road,2025-08-29 19:50:13,Heavy,22.0,Accident,Accident reported near Old Airport Road in Kadapa.,78
TRF-0000217,Ambattur,Connaught Place,2025-08-29 19:34:13,Moderate,38.9,None,None,0
TRF-0000218,South Dumdum,Anna Salai,2025-08-29 19:47:13,Moderate,34.2,None,None,0
TRF-0000219,Bhilwara,Marine Drive,2025-08-29 19:57:13,Moderate,64.9,Road Closure,Road Closure reported near Marine Drive in Bhilwara.,79
TRF-0000220,Nagercoil,Outer Ring Road,2025-08-29 18:37:13,Low,48.8,None,None,0
TRF-0000221,Kulti,Marine Drive,2025-08-29 18:12:13,Moderate,16.2,Road Closure,Road Closure reported near Marine Drive in Kulti.,29
TRF-0000222,Shahjahanpur,Western Express Highway,2025-08-29 18:22:13,Moderate,28.8,Accident,Accident reported near Western Express Highway in Shahjahanpur.,21
TRF-0000223,Rajpur Sonarpur,Connaught Place,2025-08-29 18:49:13,Low,68.0,None,None,0
TRF-0000224,Kamarhati,Western Express Highway,2025-08-29 19:28:13,Low,71.9,Road Closure,Road Closure reported near Western Express Highway in Kamarhati.,44
TRF-0000225,Baranagar,Connaught Place,2025-08-29 19:23:13,Heavy,16.7,None,None,0
TRF-0000226,Danapur,Outer Ring Road,2025-08-29 18:42:13,Moderate,26.3,None,None,0
TRF-0000227,Kurnool,Anna Salai,2025-08-29 18:25:13,Heavy,22.4,Construction,Construction reported near Anna Salai in Kurnool.,98
TRF-0000228,Yamunanagar,Western Express Highway,2025-08-29 19:12:13,Low,39.8,None,None,0
TRF-0000229,Indore,Old Airport Road,2025-08-29 18:57:13,Heavy,15.7,None,None,0
TRF-0000230,Kavali,MG Road,2025-08-29 18:40:13,Low,37.6,None,None,0
TRF-0000231,Rohtak,Old Airport Road,2025-08-29 19:55:13,Moderate,35.3,None,None,0
TRF-0000232,Bidhannagar,Connaught Place,2025-08-29 18:48:13,Low,53.0,Construction,Construction reported near Connaught Place in Bidhannagar.,11
TRF-0000233,Coimbatore,Western Express Highway,2025-08-29 18:29:13,Moderate,17.3,None,None,0
TRF-0000234,Munger,Marine Drive,2025-08-29 19:04:13,Moderate,37.2,Accident,Accident reported near Marine Drive in Munger.,27
TRF-0000235,Proddatur,Outer Ring Road,2025-08-29 18:27:13,Moderate,75.9,None,None,0
TRF-0000236,Guwahati,Outer Ring Road,2025-08-29 17:59:13,Moderate,35.6,None,None,0
